id,TL,ZH
31,hun1-hun1 i2 「 Obama tshong3-tso7 lik8-su2 」 tso3 phiau1-te5,紛紛 以 「 Obama 創造 歷史 」 做 標題
32,suan1-ko3 Obama sing5-ui5 bi2-kok4 peh8-kiong1 sin1 tsu2-lang5,宣告 Obama 成為 美國 白宮 sin1 主人
33,Obama e5 phoo2-suan2 phio3 tit4-phio3 lut8 si7 Johnson tsong2-thong2 i2-lai5,Obama 的 普選 票 得票 率 是 Johnson 總統 以來
34,bin5-tsu2-tong2 tsong2-thong2 hau7-suan2-jin5 tit4-phio3 siang7-kuan5 e5 tsit8-kai3,民主黨 總統 候選人 得票 上懸 的 一屆
35,Bush tsong2-thong2 sui5 phah4-tian7-ue7 hiann3 Obama kiong1-hi2,Bush 總統 隨 拍電話 向 Obama 恭喜
36,bin5-tsu2-tong2 ti7 tsham1-tsiong3-nng7-inn7 long2-si7 iann5-e5,民主黨 佇 參眾兩院 攏是 贏的
37,ti7 i2-king1 khui1-tshut4 e5 phio3 tong1-tiong1,佇 已經 開出 的 票 當中
38,bin5-tsu2-tong2 ti7 tsit8-pah4-sik8 e5 tsham1-inn7 sui1-jian5 bo5 huah8-ke3 lak8-tsap8-sik8 e5 hoo7-ting7,民主黨 佇 一百席 的 參院 雖然 無 伐過 六十席 的 戶橂
39,tan7-si7 i2 tshu2-tit4 goo7-tsap8-lak8-sik8,但是 已 取得 五十六席
40,ti7 tsiong3-inn7 e5 sik8-tshu3 uan1-na2 tsing1-ka1-kau3 nng7-pah4 goo7-tsap8-ji7 sik8,佇 眾院 的 席次 ⿳ㄨㄢ⿳⿳ㄋㄚˋ 增加到 兩百 五十二 席
41,pah4-mia5 jin7-iong2-ji5 phian3-poo3 tsuan5-kiu5 i1-si7 lian5-hap8-kok4 a1-pa1,百名 認養兒 遍佈 全球 伊是 聯合國 阿爸
42,tsu7-iu5-si5-po3 ki3-tsia2 iunn5-kim1-siann5 tai5-lam5-po3-to7,自由時報 記者 楊金城 臺南報導
43,i1-si7 「 lian5-hap8-kok4 a1-pa1 」 ，,伊是 「 聯合國 阿爸 」 ，
44,jin7-iong2-e5 ji5-tong5 pian3-kip8 kok4-lai7-gua7 ！,認養的 兒童 遍及 國內外 ！
45,tai5-lam5-kuan7 sin1-iann5-tshi7 tai7-hong5-li2 li2-tiunn2 ，,臺南縣 新營市 大宏里 里長 ，
46,tshua3-tsong5-bing5 se3-han3-si5 sing1-uah8-khun3-khoo2 ，,蔡崇名 細漢時 生活困苦 ，
47,tsa2-ni5 pe7-bo2 tsong5-tshuan5 hak8-hui3-e5 sng2-sin5-piau2-tsing5 ，,早年 爸母 傱攢 學費的 損神表情 ，
48,hoo7-i1 he7-guan7 jin7-iong2 ji5-tong5 ，,予伊 下願 認養 兒童 ，
49,m7-kam1 hak8-sing1 in1-ui7 san3-tshiah4 soo2-i2 sit4-hak8 ，,毋甘 學生 因為 散赤 所以 失學 ，
50,tsit4-hun7 ai3-sim1 iau2-ian5-tng5-kau3 kok4-gua7 ；,這份 愛心 猶延長到 國外 ；
51,ka1-hu5-ki1-kim1-hue7 thong2-ke3 ，,家扶基金會 統計 ，
52,ji7-tsap8-it4-ni5-lai5 jin7-iong2-e5 jin5-soo3 tshiau1-kue3 tsit8-pah4-lang5 ，,二十一年來 認養的 人數 超過 一百人 ，
53,kuan1-tsoo7 jin7-iong2 hui3-iong7 tshiau1-kue3 sann1-pah4-ban7 。,捐助 認養 費用 超過 三百萬 。
54,tshua3-tsong5-bing5 bok8-tsing5 iau2-si7 tsap8-peh4-e5 jin7-iong2-ji5 ，,蔡崇名 目前 猶是 十八个 認養兒 ，
55,iau2-si7 kok4-lai7 、 kok4-gua7 tui3-puann3-e5 khue3-pe7 ，,猶是 國內 、 國外 對半的 契爸 ，
56,si7 hun5-ka1-lam5-khu1 siang7-tse7 khe3-kiann2 e5 ai3-sim1-a1-pa1 。,是 雲嘉南區 上濟 契囝 的 愛心阿爸 。
57,ka1-hu5-tiong1-sim1 sia7-kang1 kah4 jin7-iong2-ji5 ，,家扶中心 社工 佮 認養兒 ，
58,tshing1-hoo1 i1-si7 「 lian5-hap8-kok4 a1-pa1 」 ，,稱呼 伊是 「 聯合國 阿爸 」 ，
